Entity,Code,Year,GDP per capita,cons_pct_gdp,Gini coefficient,log_gdp_pc
Albania,ALB,1996,1683.7697,100.27397670276,0.2701034247875213,7.428790427730368
Albania,ALB,2002,2297.1086,87.0737573489446,0.3173897862434387,7.739406480631121
Albania,ALB,2005,2712.8699,85.8463397355878,0.3059565424919128,7.9057623572149485
Albania,ALB,2008,3345.9817,92.777552681104,0.2998467087745666,8.115515412314837
Albania,ALB,2012,3771.848,89.0317885592506,0.2896048426628113,8.235320346016698
Albania,ALB,2014,4045.1194,90.5797330646223,0.3459889590740204,8.305266346980309
Albania,ALB,2015,4199.539,89.3273378960241,0.327537328004837,8.342730036342418
Albania,ALB,2016,4431.556,89.8605679823701,0.3373629748821258,8.396506042903303
Albania,ALB,2017,4648.231,87.1261970111874,0.3305566310882568,8.444241996091984
Albania,ALB,2018,4893.8237,86.3407619715685,0.3014828264713287,8.495729219651254
Albania,ALB,2019,5072.4365,88.2223058664963,0.301157683134079,8.531576553139603
Albania,ALB,2020,4980.617,88.2208431738547,0.2941963076591491,8.513309057926604
Algeria,DZA,1988,3606.2683,79.4563587408789,0.3735699355602264,8.190428804766931
Algeria,DZA,1995,3255.1873,71.8928986475733,0.353300541639328,8.088005095229882
Algeria,DZA,2011,4501.3545,50.4900949281838,0.2761573195457458,8.412133630467
Angola,AGO,2000,2172.4634,,0.5194514989852905,7.683617010047118
Angola,AGO,2008,3559.1953,47.5716800861983,0.4271551370620727,8.177289758969495
Angola,AGO,2018,3196.79,62.2244408017324,0.5126428604125977,8.069902460321213
Armenia,ARM,1999,1180.4534,108.275136010629,0.3621972501277923,7.073653880947603
Armenia,ARM,2001,1351.1207,108.753808222086,0.3536435961723327,7.208689675198229
Armenia,ARM,2002,1535.2046,102.869512812633,0.3477967381477356,7.336418941041268
Armenia,ARM,2003,1759.6469,96.9965519187696,0.3302808701992035,7.47286844290431
Armenia,ARM,2004,1955.2227,96.1198313117346,0.3750563263893127,7.578259378975346
Armenia,ARM,2005,2240.0928,89.1341265601753,0.3599235415458679,7.714272572562375
Armenia,ARM,2006,2551.4355,85.2750394568942,0.2970998585224151,7.844411420936999
Armenia,ARM,2007,2919.3735,84.755100160246,0.3122605681419372,7.979124317447634
Armenia,ARM,2008,3141.332,84.6880871612562,0.2918814122676849,8.05240219277495
Armenia,ARM,2009,2716.9744,96.8311215981661,0.2801587879657745,7.907274187225168
Armenia,ARM,2010,2796.0815,98.300593777353,0.299925833940506,7.93597425171286
Armenia,ARM,2011,2943.837,99.9153984641812,0.2935294508934021,7.98746911146814
Armenia,ARM,2012,3159.7585,96.78979331931,0.2960226237773895,8.058250879609858
Armenia,ARM,2013,3266.2988,98.7235707172707,0.3057966232299804,8.09141275740442
Armenia,ARM,2014,3393.0925,97.6330390280979,0.3148328959941864,8.12949702642265
Armenia,ARM,2015,3512.3936,91.0274446603294,0.3235677182674408,8.164053021368249
Armenia,ARM,2016,3533.885,89.7578164754025,0.3254794776439667,8.170153111320177
Armenia,ARM,2017,3815.3748,92.3485450148713,0.336218386888504,8.246794182667529
Armenia,ARM,2018,4027.834,91.2875796372273,0.344334989786148,8.30098404146987
Armenia,ARM,2019,4343.4585,95.913260753888,0.3003121316432953,8.376426199147597
Armenia,ARM,2020,4032.0903,90.3042276984435,0.2513160407543182,8.302040205333755
Armenia,ARM,2021,4264.8,84.9472447479667,0.2794013023376465,8.358150565508552
Armenia,ARM,2022,4791.005,78.4816563161571,0.2794529497623443,8.474495480506038
Armenia,ARM,2023,5197.235,78.4607856740337,0.2715465128421783,8.55588203238135
Armenia,ARM,2024,5378.318,78.9812733324031,0.2744480669498443,8.590130964868738
Australia,AUS,1981,31333.164,73.8624075081432,0.3132487535476684,10.352432368314108
Australia,AUS,1985,32939.29,74.1906890541039,0.3249746859073639,10.402421449158107
Australia,AUS,1989,36232.176,71.8432463654927,0.331531286239624,10.497702842808707
Australia,AUS,1995,39407.566,76.0051872839051,0.3257934153079986,10.58171310730739
Australia,AUS,2001,46314.625,76.5661066306979,0.3346266448497772,10.743213064926428
Australia,AUS,2003,48509.664,76.1896415412384,0.3349778652191162,10.789518314808348
Australia,AUS,2004,50018.59,75.6598430218921,0.3305647671222687,10.82015001530979
Australia,AUS,2008,53497.273,74.0033732632516,0.3543021082878113,10.887385959622366
Australia,AUS,2010,53768.35,74.2280607234698,0.3465797901153564,10.892440283076613
Australia,AUS,2014,56571.805,73.6964746061954,0.3440047204494476,10.943265995199571
Australia,AUS,2016,57633.0,77.0587242203238,0.3368617296218872,10.961850599296552
Australia,AUS,2018,58772.707,75.3935927231386,0.3433473706245422,10.981432859461357
Australia,AUS,2020,58377.766,74.2786095165123,0.338300496339798,10.97469037714629
Austria,AUT,1994,32780.344,74.8987017171432,0.308291494846344,10.39758434644654
Austria,AUT,1995,33603.43,74.2893202395371,0.2991552650928497,10.42238342407448
Austria,AUT,1996,34301.656,74.9352193682918,0.2931878268718719,10.442948911871976
Austria,AUT,1997,34998.03,74.1438540730192,0.2906607091426849,10.463047053173165
Austria,AUT,1998,36180.75,73.6809915480494,0.3134272694587707,10.496282488419338
Austria,AUT,1999,37468.87,73.1475963450506,0.296711266040802,10.531265733873687
Austria,AUT,2000,38571.086,72.8961535438493,0.2896521687507629,10.560258207404276
Austria,AUT,2003,39569.29,73.0417752485327,0.2946562767028808,10.58580859133247
Austria,AUT,2004,40333.332,72.7082927279391,0.2978884577751159,10.604933502852917
Austria,AUT,2005,40989.01,73.0045677371403,0.2871520817279815,10.621059260974462
Austria,AUT,2006,42120.156,72.3052480485067,0.295875608921051,10.648281669944756
Austria,AUT,2007,43568.832,70.5908694150153,0.3057945072650909,10.682097311315852
Austria,AUT,2008,44063.863,70.9893696989438,0.3043709397315979,10.693395292409532
Austria,AUT,2009,42372.477,73.8984762458064,0.3149490654468536,10.654254303087177
Austria,AUT,2010,43035.406,73.9162975913064,0.3025166392326355,10.669778451220553
Austria,AUT,2011,44146.195,73.0741851387776,0.3080105781555176,10.69526201885264
Austria,AUT,2012,44221.46,73.1898372721943,0.3047561645507812,10.696965470600906
Austria,AUT,2013,43851.367,73.4446190203496,0.3075290620326996,10.688561171772797
Austria,AUT,2014,43838.836,72.9277976810175,0.3053537309169769,10.68827537017452
